N,RS Hash,JS Hash,PJW Hash,ELF Hash,BKDR Hash,SDBM Hash,DJB Hash,DEK Hash,AP Hash
50000,1,0,4,4,0,0,0,0,0
100000,1,1,18,18,0,0,1,0,2
150000,2,2,35,35,1,0,2,1,5
200000,5,4,78,78,5,3,5,4,10
250000,9,10,113,113,8,4,6,6,13
300000,13,13,165,165,9,6,8,8,16
350000,15,16,235,235,13,10,12,11,21
400000,22,19,303,303,20,18,17,16,29
450000,26,22,399,399,25,21,21,22,34
500000,31,30,497,497,29,29,27,24,42
550000,39,35,616,616,32,40,39,30,48
600000,45,42,754,754,45,46,44,33,52
650000,52,51,872,872,52,55,52,39,65
700000,57,55,995,995,57,64,59,43,73
750000,64,64,1135,1135,71,72,65,52,82
800000,77,73,1285,1285,78,77,77,59,91
850000,89,80,1445,1445,90,88,83,72,105
900000,101,89,1611,1611,97,95,92,84,113
950000,110,98,1812,1812,109,108,103,93,130
1000000,119,109,2034,2034,125,117,116,108,143
